period_id, item, qty, order_qty1, order_qty2, order_qty3
1216,item2048,0.0,0.0,0.0,0.0
1217,item2048,0.0,0.0,0.0,0.0
1218,item2048,0.128,0.0,0.0,0.0
1219,item2048,0.0,0.0,0.0,0.0
1220,item2048,0.136,0.0,0.0,0.024
1221,item2048,0.0,0.0,0.032,0.0
1222,item2048,0.088,0.032,0.0,0.0
1223,item2048,0.0,0.0,0.0,0.0
1224,item2048,0.0,0.0,0.0,0.0
1225,item2048,0.184,0.184,0.0,0.032
1226,item2048,0.0,0.0,0.032,0.0
1227,item2048,0.072,0.032,0.0,0.0
1229,item2048,0.0,0.0,0.0,0.0
1230,item2048,0.0,0.0,0.0,0.0
1231,item2048,0.08,0.0,0.136,0.0
1232,item2048,0.152,0.136,0.0,0.0
1233,item2048,0.0,0.0,0.0,0.0
1234,item2048,0.04,0.008,0.0,0.0
1235,item2048,0.08,0.048,0.0,0.0
1236,item2048,0.08,0.0,0.0,0.0
1237,item2048,0.112,0.016,0.0,0.0
1238,item2048,0.152,0.144,0.048,0.0
1239,item2048,0.368,0.368,0.0,0.0
1240,item2048,0.088,0.088,0.168,0.0
1241,item2048,0.28,0.2,0.0,0.0
1242,item2048,0.28,0.136,0.0,0.0
1243,item2048,0.232,0.216,0.0,0.096
1244,item2048,0.152,0.152,0.096,0.0
1245,item2048,0.336,0.168,0.0,0.0
1246,item2048,0.224,0.096,0.368,0.0
1247,item2048,0.64,0.408,0.0,0.0
1248,item2048,0.208,0.0,0.0,0.0
1249,item2048,0.224,0.16,0.0,0.096
1250,item2048,0.232,0.128,0.112,0.0
1251,item2048,0.752,0.256,0.0,0.0
1252,item2048,0.288,0.136,0.0,0.0
1253,item2048,1.0,0.328,0.016,0.0
1254,item2048,0.584,0.376,0.44,0.032
1255,item2048,0.712,0.632,0.064,0.0
1256,item2048,0.552,0.48,0.0,0.0
1257,item2048,0.624,0.296,0.0,0.0
1258,item2048,0.264,0.104,0.04,0.0
1259,item2048,0.04,0.04,0.0,0.0
