period_id, item, qty, order_qty1, order_qty2, order_qty3
1213,item1517,0.3928,0.2847,0.0863,0.0076
1214,item1517,0.2514,0.2058,0.0697,0.0127
1215,item1517,0.325,0.2589,0.028,0.0061
1216,item1517,0.2861,0.205,0.1149,0.0274
1217,item1517,0.396,0.2652,0.0328,0.0285
1218,item1517,0.3823,0.2318,0.0349,0.0337
1219,item1517,0.1584,0.0944,0.0577,0.0
1220,item1517,0.3213,0.1716,0.092,0.0006
1221,item1517,0.648,0.4653,0.0554,0.0004
1222,item1517,0.7414,0.6762,0.0222,0.0042
1223,item1517,0.3457,0.2508,0.0525,0.0093
1224,item1517,0.4518,0.2808,0.0182,0.0
1225,item1517,0.276,0.2349,0.0303,0.0072
1226,item1517,0.4207,0.1531,0.0325,0.0064
1227,item1517,0.5048,0.3632,0.036,0.0042
1228,item1517,0.2842,0.261,0.0109,0.0163
1229,item1517,0.4349,0.2602,0.1608,0.0002
1230,item1517,0.6776,0.4213,0.0083,0.0423
1231,item1517,0.3197,0.169,0.0601,0.0021
1232,item1517,0.3273,0.1828,0.0111,0.0
1233,item1517,0.3403,0.3108,0.0029,0.0167
1234,item1517,0.7037,0.4919,0.0201,0.0011
1235,item1517,0.4922,0.2796,0.0026,0.0003
1236,item1517,0.2805,0.1607,0.0058,0.0
1237,item1517,0.1603,0.1041,0.0469,0.0014
1238,item1517,0.2836,0.2101,0.0075,0.0142
1239,item1517,0.1454,0.078,0.0142,0.0064
1240,item1517,0.161,0.068,0.0718,0.0037
1241,item1517,0.2266,0.1705,0.004,0.0018
1242,item1517,0.6269,0.4138,0.0147,0.0005
1243,item1517,0.2914,0.1917,0.0217,0.0085
1244,item1517,0.32,0.2198,0.0327,0.0743
1245,item1517,0.4672,0.1583,0.0794,0.0
1246,item1517,1.0,0.6871,0.0241,0.0553
1247,item1517,0.4214,0.2428,0.0613,0.0003
1248,item1517,0.46,0.3152,0.012,0.002
1249,item1517,0.1014,0.0583,0.002,0.0004
1250,item1517,0.0752,0.0548,0.0077,0.009
1251,item1517,0.2218,0.1525,0.0094,0.0475
1252,item1517,0.0977,0.0699,0.0519,0.0095
1253,item1517,0.2722,0.1936,0.0125,0.0
1254,item1517,0.3651,0.283,0.0401,0.0276
1255,item1517,0.3516,0.1361,0.0276,0.0247
1256,item1517,0.2245,0.1194,0.0292,0.0219
1257,item1517,0.3467,0.1743,0.0239,0.0173
1258,item1517,0.4859,0.4219,0.0401,0.0031
1259,item1517,0.0804,0.0804,0.0031,0.0166
