period_id, item, qty, order_qty1, order_qty2, order_qty3
1245,item2067,0.0,0.0,0.0,0.0
1246,item2067,0.0,0.0,0.0,0.0
1247,item2067,0.2636,0.0815,0.0,0.0
1248,item2067,0.4402,0.2609,0.0,0.0
1249,item2067,0.1467,0.1467,0.0,0.0
1250,item2067,0.0652,0.0489,0.0326,0.0326
1251,item2067,0.1359,0.1033,0.1304,0.0652
1252,item2067,0.3342,0.1984,0.163,0.0489
1253,item2067,0.3886,0.356,0.1304,0.0
1254,item2067,0.7011,0.3261,0.0,0.0815
1255,item2067,0.3995,0.3832,0.0815,0.0353
1256,item2067,0.2717,0.1793,0.1549,0.0489
1257,item2067,0.6413,0.3886,0.2527,0.0707
1258,item2067,1.0,1.0,0.1875,0.0978
1259,item2067,0.4429,0.4429,0.163,0.0
