period_id, item, qty, order_qty1, order_qty2, order_qty3
1213,item1266,0.2614,0.2386,0.0,0.0
1214,item1266,0.0909,0.0682,0.0,0.0
1215,item1266,0.3182,0.2045,0.0,0.0
1216,item1266,0.0909,0.0682,0.0,0.0
1217,item1266,0.2614,0.0795,0.0,0.0
1218,item1266,0.4318,0.4318,0.0,0.0
1219,item1266,0.0,0.0,0.0,0.0
1220,item1266,0.0,0.0,0.0,0.0
1221,item1266,0.2045,0.0682,0.0,0.0
1222,item1266,0.1364,0.0455,0.0,0.0
1223,item1266,0.2159,0.1477,0.0,0.0
1224,item1266,0.3636,0.1477,0.0,0.0
1225,item1266,0.4091,0.2045,0.0,0.0
1226,item1266,0.0568,0.0568,0.0,0.0
1227,item1266,0.1591,0.0682,0.0227,0.0
1228,item1266,0.1705,0.125,0.0227,0.0
1229,item1266,0.0909,0.0909,0.0,0.0
1230,item1266,0.1023,0.0227,0.0227,0.0
1231,item1266,0.6818,0.5,0.0,0.0
1232,item1266,0.4091,0.3636,0.1136,0.0
1233,item1266,0.5568,0.375,0.0455,0.0
1234,item1266,0.5795,0.3864,0.0227,0.0
1235,item1266,0.3295,0.2159,0.0,0.0
1236,item1266,0.5114,0.3523,0.0,0.0
1237,item1266,0.2955,0.2727,0.0,0.0
1238,item1266,0.0682,0.0455,0.0,0.0
1239,item1266,0.2045,0.0,0.0,0.0
1240,item1266,0.2273,0.1705,0.0,0.0
1241,item1266,0.1818,0.1591,0.0,0.0
1242,item1266,1.0,0.6818,0.0,0.0455
1243,item1266,0.0568,0.0455,0.0455,0.0
1244,item1266,0.2727,0.2045,0.0,0.0
1245,item1266,0.9318,0.4318,0.0,0.0
1246,item1266,0.2841,0.1364,0.0,0.0
1247,item1266,0.2045,0.0455,0.0,0.0
1248,item1266,0.3977,0.2727,0.0114,0.0
1249,item1266,0.2159,0.1705,0.0,0.0
1250,item1266,0.1364,0.1364,0.0,0.0
1251,item1266,0.0341,0.0341,0.0,0.0
1252,item1266,0.25,0.0682,0.0,0.0
1253,item1266,0.2273,0.0455,0.0,0.0
1254,item1266,0.5909,0.2955,0.0,0.0
1255,item1266,0.3295,0.2841,0.0,0.0
1256,item1266,0.125,0.1023,0.0,0.0
1257,item1266,0.3295,0.1136,0.0,0.0
1258,item1266,0.2045,0.1136,0.0,0.0909
1259,item1266,0.0,0.0,0.0909,0.0
